Trial_ID,Probe,Target,Cate,Wlevel,word2vec
16,damp,plug,UR,0,0.012637555
2,cinema,screen,high,5,0.328453822
11,buyer,solicitor,low,2,0.219417287
8,jar,money,low,3,0.181697793
15,train,egg,UR,0,0.048520591
5,cot,pacifier,med,4,0.385169936
1,jungle,monkey,high,5,0.328196168
9,baggage,shoulder,low,2,0.102573494
12,hairband,dryer,low,2,0.221665697
3,rings,diamonds,high,5,0.370971565
10,person,cell,low,2,0.120502732
13,portrait,cargo,UR,0,0.046046455
17,lab,mallet,UR,0,0.05940248
6,earphone,handwriting,low,3,0.115363983
7,bench,football,low,3,0.186647627
18,shrew,grate,UR,0,0.14340813
14,flight,tooth,UR,0,0.062262107
4,lemonade,straw,med,4,0.21046445
